timestamp;member_id;consumo_kwh
2023-01-01 00:00:00;M01;0,1723
2023-01-01 01:00:00;M01;0,1379
2023-01-01 02:00:00;M01;0,1173
2023-01-01 03:00:00;M01;0,1113
2023-01-01 04:00:00;M01;0,1306
2023-01-01 05:00:00;M01;0,1611
2023-01-01 06:00:00;M01;0,2026
2023-01-01 07:00:00;M01;0,3191
2023-01-01 08:00:00;M01;0,4386
2023-01-01 09:00:00;M01;0,5131
2023-01-01 10:00:00;M01;0,5135
2023-01-01 11:00:00;M01;0,5563
2023-01-01 12:00:00;M01;0,6136
2023-01-01 13:00:00;M01;0,5916
2023-01-01 14:00:00;M01;0,592
2023-01-01 15:00:00;M01;0,5751
2023-01-01 16:00:00;M01;0,5661
2023-01-01 17:00:00;M01;0,6405
2023-01-01 18:00:00;M01;0,6615
2023-01-01 19:00:00;M01;0,7376
2023-01-01 20:00:00;M01;0,6941
2023-01-01 21:00:00;M01;0,5969
2023-01-01 22:00:00;M01;0,4527
2023-01-01 23:00:00;M01;0,309
2023-01-02 00:00:00;M01;0,1775
2023-01-02 01:00:00;M01;0,1354
2023-01-02 02:00:00;M01;0,1205
2023-01-02 03:00:00;M01;0,1123
2023-01-02 04:00:00;M01;0,1272
2023-01-02 05:00:00;M01;0,1685
2023-01-02 06:00:00;M01;0,2901
2023-01-02 07:00:00;M01;0,5415
2023-01-02 08:00:00;M01;0,6293
2023-01-02 09:00:00;M01;0,4541
2023-01-02 10:00:00;M01;0,3653
2023-01-02 11:00:00;M01;0,4033
2023-01-02 12:00:00;M01;0,4671
2023-01-02 13:00:00;M01;0,4166
2023-01-02 14:00:00;M01;0,3668
2023-01-02 15:00:00;M01;0,3357
2023-01-02 16:00:00;M01;0,4381
2023-01-02 17:00:00;M01;0,5866
2023-01-02 18:00:00;M01;0,733
2023-01-02 19:00:00;M01;0,7609
2023-01-02 20:00:00;M01;0,7295
2023-01-02 21:00:00;M01;0,6277
2023-01-02 22:00:00;M01;0,503
2023-01-02 23:00:00;M01;0,3228
2023-01-03 00:00:00;M01;0,1882
2023-01-03 01:00:00;M01;0,1515
2023-01-03 02:00:00;M01;0,1361
2023-01-03 03:00:00;M01;0,1226
2023-01-03 04:00:00;M01;0,1389
2023-01-03 05:00:00;M01;0,1635
2023-01-03 06:00:00;M01;0,2707
2023-01-03 07:00:00;M01;0,4424
2023-01-03 08:00:00;M01;0,5192
2023-01-03 09:00:00;M01;0,3893
2023-01-03 10:00:00;M01;0,3678
2023-01-03 11:00:00;M01;0,3716
2023-01-03 12:00:00;M01;0,4335
2023-01-03 13:00:00;M01;0,3547
2023-01-03 14:00:00;M01;0,3284
2023-01-03 15:00:00;M01;0,3246
2023-01-03 16:00:00;M01;0,4246
2023-01-03 17:00:00;M01;0,5708
2023-01-03 18:00:00;M01;0,7267
2023-01-03 19:00:00;M01;0,7692
2023-01-03 20:00:00;M01;0,7069
2023-01-03 21:00:00;M01;0,638
2023-01-03 22:00:00;M01;0,4981
2023-01-03 23:00:00;M01;0,2823
2023-01-04 00:00:00;M01;0,1541
2023-01-04 01:00:00;M01;0,1157
2023-01-04 02:00:00;M01;0,1116
2023-01-04 03:00:00;M01;0,1029
2023-01-04 04:00:00;M01;0,1208
2023-01-04 05:00:00;M01;0,1533
2023-01-04 06:00:00;M01;0,2638
2023-01-04 07:00:00;M01;0,4625
2023-01-04 08:00:00;M01;0,5509
2023-01-04 09:00:00;M01;0,428
2023-01-04 10:00:00;M01;0,3497
2023-01-04 11:00:00;M01;0,3667
2023-01-04 12:00:00;M01;0,395
2023-01-04 13:00:00;M01;0,336
2023-01-04 14:00:00;M01;0,3311
2023-01-04 15:00:00;M01;0,3137
2023-01-04 16:00:00;M01;0,3983
2023-01-04 17:00:00;M01;0,5343
2023-01-04 18:00:00;M01;0,6748
2023-01-04 19:00:00;M01;0,766
2023-01-04 20:00:00;M01;0,7196
2023-01-04 21:00:00;M01;0,601
2023-01-04 22:00:00;M01;0,4763
2023-01-04 23:00:00;M01;0,2635
2023-01-05 00:00:00;M01;0,1416
2023-01-05 01:00:00;M01;0,1041
2023-01-05 02:00:00;M01;0,0915
2023-01-05 03:00:00;M01;0,0893
2023-01-05 04:00:00;M01;0,0961
2023-01-05 05:00:00;M01;0,1266
2023-01-05 06:00:00;M01;0,2438
2023-01-05 07:00:00;M01;0,4071
2023-01-05 08:00:00;M01;0,5284
2023-01-05 09:00:00;M01;0,3787
2023-01-05 10:00:00;M01;0,3237
2023-01-05 11:00:00;M01;0,3296
2023-01-05 12:00:00;M01;0,3615
2023-01-05 13:00:00;M01;0,3567
2023-01-05 14:00:00;M01;0,3001
2023-01-05 15:00:00;M01;0,307
2023-01-05 16:00:00;M01;0,397
2023-01-05 17:00:00;M01;0,4971
2023-01-05 18:00:00;M01;0,5593
2023-01-05 19:00:00;M01;0,6326
2023-01-05 20:00:00;M01;0,5938
2023-01-05 21:00:00;M01;0,5327
2023-01-05 22:00:00;M01;0,433
2023-01-05 23:00:00;M01;0,2992
2023-01-06 00:00:00;M01;0,1717
2023-01-06 01:00:00;M01;0,1267
2023-01-06 02:00:00;M01;0,1177
2023-01-06 03:00:00;M01;0,1081
2023-01-06 04:00:00;M01;0,1306
2023-01-06 05:00:00;M01;0,1763
2023-01-06 06:00:00;M01;0,3001
2023-01-06 07:00:00;M01;0,5372
2023-01-06 08:00:00;M01;0,599
2023-01-06 09:00:00;M01;0,4314
2023-01-06 10:00:00;M01;0,3464
2023-01-06 11:00:00;M01;0,3631
2023-01-06 12:00:00;M01;0,3667
2023-01-06 13:00:00;M01;0,356
2023-01-06 14:00:00;M01;0,3318
2023-01-06 15:00:00;M01;0,2936
2023-01-06 16:00:00;M01;0,3503
2023-01-06 17:00:00;M01;0,4764
2023-01-06 18:00:00;M01;0,6305
2023-01-06 19:00:00;M01;0,7839
2023-01-06 20:00:00;M01;0,8608
2023-01-06 21:00:00;M01;0,7345
2023-01-06 22:00:00;M01;0,5404
2023-01-06 23:00:00;M01;0,2892
2023-01-07 00:00:00;M01;0,172
2023-01-07 01:00:00;M01;0,1286
2023-01-07 02:00:00;M01;0,1148
2023-01-07 03:00:00;M01;0,1003
2023-01-07 04:00:00;M01;0,1122
2023-01-07 05:00:00;M01;0,1704
2023-01-07 06:00:00;M01;0,2338
2023-01-07 07:00:00;M01;0,3535
2023-01-07 08:00:00;M01;0,4577
2023-01-07 09:00:00;M01;0,4754
2023-01-07 10:00:00;M01;0,4931
2023-01-07 11:00:00;M01;0,5058
2023-01-07 12:00:00;M01;0,6054
2023-01-07 13:00:00;M01;0,5873
2023-01-07 14:00:00;M01;0,5837
2023-01-07 15:00:00;M01;0,5376
2023-01-07 16:00:00;M01;0,522
2023-01-07 17:00:00;M01;0,5496
2023-01-07 18:00:00;M01;0,586
2023-01-07 19:00:00;M01;0,7235
2023-01-07 20:00:00;M01;0,6513
2023-01-07 21:00:00;M01;0,6015
2023-01-07 22:00:00;M01;0,4496
2023-01-07 23:00:00;M01;0,3022
2023-01-08 00:00:00;M01;0,1797
2023-01-08 01:00:00;M01;0,139
2023-01-08 02:00:00;M01;0,1256
2023-01-08 03:00:00;M01;0,1083
2023-01-08 04:00:00;M01;0,1241
2023-01-08 05:00:00;M01;0,1688
2023-01-08 06:00:00;M01;0,2126
2023-01-08 07:00:00;M01;0,302
2023-01-08 08:00:00;M01;0,433
2023-01-08 09:00:00;M01;0,5618
2023-01-08 10:00:00;M01;0,5926
2023-01-08 11:00:00;M01;0,5881
2023-01-08 12:00:00;M01;0,6236
2023-01-08 13:00:00;M01;0,6438
2023-01-08 14:00:00;M01;0,6034
2023-01-08 15:00:00;M01;0,5564
2023-01-08 16:00:00;M01;0,6148
2023-01-08 17:00:00;M01;0,6888
2023-01-08 18:00:00;M01;0,8079
2023-01-08 19:00:00;M01;0,8391
2023-01-08 20:00:00;M01;0,7282
2023-01-08 21:00:00;M01;0,5803
2023-01-08 22:00:00;M01;0,507
2023-01-08 23:00:00;M01;0,347
2023-01-09 00:00:00;M01;0,1961
2023-01-09 01:00:00;M01;0,1481
2023-01-09 02:00:00;M01;0,1437
2023-01-09 03:00:00;M01;0,1192
2023-01-09 04:00:00;M01;0,1244
2023-01-09 05:00:00;M01;0,1677
2023-01-09 06:00:00;M01;0,2754
2023-01-09 07:00:00;M01;0,4619
2023-01-09 08:00:00;M01;0,5551
2023-01-09 09:00:00;M01;0,4278
2023-01-09 10:00:00;M01;0,3938
2023-01-09 11:00:00;M01;0,4171
2023-01-09 12:00:00;M01;0,4678
2023-01-09 13:00:00;M01;0,3728
2023-01-09 14:00:00;M01;0,349
2023-01-09 15:00:00;M01;0,3207
2023-01-09 16:00:00;M01;0,3738
2023-01-09 17:00:00;M01;0,4624
2023-01-09 18:00:00;M01;0,5684
2023-01-09 19:00:00;M01;0,6784
2023-01-09 20:00:00;M01;0,5972
2023-01-09 21:00:00;M01;0,5279
2023-01-09 22:00:00;M01;0,4152
2023-01-09 23:00:00;M01;0,2557
2023-01-10 00:00:00;M01;0,163
2023-01-10 01:00:00;M01;0,1335
2023-01-10 02:00:00;M01;0,1315
2023-01-10 03:00:00;M01;0,1162
2023-01-10 04:00:00;M01;0,1231
2023-01-10 05:00:00;M01;0,1578
2023-01-10 06:00:00;M01;0,2716
2023-01-10 07:00:00;M01;0,4614
2023-01-10 08:00:00;M01;0,524
2023-01-10 09:00:00;M01;0,4016
2023-01-10 10:00:00;M01;0,3496
2023-01-10 11:00:00;M01;0,4325
2023-01-10 12:00:00;M01;0,5131
2023-01-10 13:00:00;M01;0,4354
2023-01-10 14:00:00;M01;0,3936
2023-01-10 15:00:00;M01;0,3444
2023-01-10 16:00:00;M01;0,4153
2023-01-10 17:00:00;M01;0,5474
2023-01-10 18:00:00;M01;0,7192
2023-01-10 19:00:00;M01;0,7454
2023-01-10 20:00:00;M01;0,6796
2023-01-10 21:00:00;M01;0,5094
2023-01-10 22:00:00;M01;0,4119
2023-01-10 23:00:00;M01;0,2409
2023-01-11 00:00:00;M01;0,1398
2023-01-11 01:00:00;M01;0,1066
2023-01-11 02:00:00;M01;0,1001
2023-01-11 03:00:00;M01;0,0815
2023-01-11 04:00:00;M01;0,0862
2023-01-11 05:00:00;M01;0,138
2023-01-11 06:00:00;M01;0,2181
2023-01-11 07:00:00;M01;0,3502
2023-01-11 08:00:00;M01;0,5061
2023-01-11 09:00:00;M01;0,4608
2023-01-11 10:00:00;M01;0,3625
2023-01-11 11:00:00;M01;0,3782
2023-01-11 12:00:00;M01;0,4239
2023-01-11 13:00:00;M01;0,4253
2023-01-11 14:00:00;M01;0,3706
2023-01-11 15:00:00;M01;0,3508
2023-01-11 16:00:00;M01;0,4574
2023-01-11 17:00:00;M01;0,5974
2023-01-11 18:00:00;M01;0,7069
2023-01-11 19:00:00;M01;0,7603
2023-01-11 20:00:00;M01;0,6613
2023-01-11 21:00:00;M01;0,5651
2023-01-11 22:00:00;M01;0,4466
2023-01-11 23:00:00;M01;0,282
2023-01-12 00:00:00;M01;0,16
2023-01-12 01:00:00;M01;0,131
2023-01-12 02:00:00;M01;0,1271
2023-01-12 03:00:00;M01;0,1149
2023-01-12 04:00:00;M01;0,1296
2023-01-12 05:00:00;M01;0,1677
2023-01-12 06:00:00;M01;0,2819
2023-01-12 07:00:00;M01;0,4515
2023-01-12 08:00:00;M01;0,5604
2023-01-12 09:00:00;M01;0,4202
2023-01-12 10:00:00;M01;0,403
2023-01-12 11:00:00;M01;0,4594
2023-01-12 12:00:00;M01;0,5008
2023-01-12 13:00:00;M01;0,4279
2023-01-12 14:00:00;M01;0,3699
2023-01-12 15:00:00;M01;0,3799
2023-01-12 16:00:00;M01;0,4751
2023-01-12 17:00:00;M01;0,6182
2023-01-12 18:00:00;M01;0,673
2023-01-12 19:00:00;M01;0,7759
2023-01-12 20:00:00;M01;0,7509
2023-01-12 21:00:00;M01;0,599
2023-01-12 22:00:00;M01;0,4636
2023-01-12 23:00:00;M01;0,2915
2023-01-13 00:00:00;M01;0,1709
2023-01-13 01:00:00;M01;0,1321
2023-01-13 02:00:00;M01;0,1198
2023-01-13 03:00:00;M01;0,1066
2023-01-13 04:00:00;M01;0,1202
2023-01-13 05:00:00;M01;0,171
2023-01-13 06:00:00;M01;0,2449
2023-01-13 07:00:00;M01;0,4119
2023-01-13 08:00:00;M01;0,5147
2023-01-13 09:00:00;M01;0,4008
2023-01-13 10:00:00;M01;0,3361
2023-01-13 11:00:00;M01;0,3224
2023-01-13 12:00:00;M01;0,3716
2023-01-13 13:00:00;M01;0,3848
2023-01-13 14:00:00;M01;0,3266
2023-01-13 15:00:00;M01;0,3376
2023-01-13 16:00:00;M01;0,4149
2023-01-13 17:00:00;M01;0,5344
2023-01-13 18:00:00;M01;0,614
2023-01-13 19:00:00;M01;0,6653
2023-01-13 20:00:00;M01;0,6972
2023-01-13 21:00:00;M01;0,621
2023-01-13 22:00:00;M01;0,542
2023-01-13 23:00:00;M01;0,3487
2023-01-14 00:00:00;M01;0,2033
2023-01-14 01:00:00;M01;0,1702
2023-01-14 02:00:00;M01;0,1532
2023-01-14 03:00:00;M01;0,1394
2023-01-14 04:00:00;M01;0,1479
2023-01-14 05:00:00;M01;0,2025
2023-01-14 06:00:00;M01;0,2589
2023-01-14 07:00:00;M01;0,4106
2023-01-14 08:00:00;M01;0,5205
2023-01-14 09:00:00;M01;0,6203
2023-01-14 10:00:00;M01;0,632
2023-01-14 11:00:00;M01;0,6673
2023-01-14 12:00:00;M01;0,7109
2023-01-14 13:00:00;M01;0,7333
2023-01-14 14:00:00;M01;0,6917
2023-01-14 15:00:00;M01;0,5913
2023-01-14 16:00:00;M01;0,6068
2023-01-14 17:00:00;M01;0,6221
2023-01-14 18:00:00;M01;0,6622
2023-01-14 19:00:00;M01;0,7654
2023-01-14 20:00:00;M01;0,7443
2023-01-14 21:00:00;M01;0,616
2023-01-14 22:00:00;M01;0,4562
2023-01-14 23:00:00;M01;0,2898
2023-01-15 00:00:00;M01;0,157
2023-01-15 01:00:00;M01;0,1197
2023-01-15 02:00:00;M01;0,1133
2023-01-15 03:00:00;M01;0,1109
2023-01-15 04:00:00;M01;0,1277
2023-01-15 05:00:00;M01;0,1542
2023-01-15 06:00:00;M01;0,2172
2023-01-15 07:00:00;M01;0,3368
2023-01-15 08:00:00;M01;0,481
2023-01-15 09:00:00;M01;0,61
2023-01-15 10:00:00;M01;0,5565
2023-01-15 11:00:00;M01;0,5407
2023-01-15 12:00:00;M01;0,5929
2023-01-15 13:00:00;M01;0,5163
2023-01-15 14:00:00;M01;0,5436
2023-01-15 15:00:00;M01;0,5326
2023-01-15 16:00:00;M01;0,585
2023-01-15 17:00:00;M01;0,6237
2023-01-15 18:00:00;M01;0,7178
2023-01-15 19:00:00;M01;0,7962
2023-01-15 20:00:00;M01;0,7528
2023-01-15 21:00:00;M01;0,6553
2023-01-15 22:00:00;M01;0,5187
2023-01-15 23:00:00;M01;0,3075
2023-01-16 00:00:00;M01;0,1768
2023-01-16 01:00:00;M01;0,1371
2023-01-16 02:00:00;M01;0,1273
2023-01-16 03:00:00;M01;0,1206
2023-01-16 04:00:00;M01;0,1246
2023-01-16 05:00:00;M01;0,1604
2023-01-16 06:00:00;M01;0,2955
2023-01-16 07:00:00;M01;0,4704
2023-01-16 08:00:00;M01;0,542
2023-01-16 09:00:00;M01;0,416
2023-01-16 10:00:00;M01;0,3732
2023-01-16 11:00:00;M01;0,3966
2023-01-16 12:00:00;M01;0,4659
2023-01-16 13:00:00;M01;0,4379
2023-01-16 14:00:00;M01;0,4198
2023-01-16 15:00:00;M01;0,4076
2023-01-16 16:00:00;M01;0,5579
2023-01-16 17:00:00;M01;0,686
2023-01-16 18:00:00;M01;0,7328
2023-01-16 19:00:00;M01;0,8614
2023-01-16 20:00:00;M01;0,7815
2023-01-16 21:00:00;M01;0,6654
2023-01-16 22:00:00;M01;0,5599
2023-01-16 23:00:00;M01;0,3088
2023-01-17 00:00:00;M01;0,166
2023-01-17 01:00:00;M01;0,1182
2023-01-17 02:00:00;M01;0,1039
2023-01-17 03:00:00;M01;0,099
2023-01-17 04:00:00;M01;0,1159
2023-01-17 05:00:00;M01;0,1547
2023-01-17 06:00:00;M01;0,2402
2023-01-17 07:00:00;M01;0,3485
2023-01-17 08:00:00;M01;0,4452
2023-01-17 09:00:00;M01;0,3368
2023-01-17 10:00:00;M01;0,3076
